platform,title,author,genre,rating,purchase_count,total_amount_krw,first_date,last_date
문피아,망겜 스트리머가 너무 강함,ReadOut,"게임, 퓨전",,16,1600,2020-04-03,2020-04-17
네이버 시리즈,무당패왕,윤신현,무협,8.1,43,1600,2021-09-27,2021-10-01
네이버 시리즈,윤회무사,서마,무협,9.4,19,1500,2025-03-01,2025-03-02
카카오페이지,마누라가 회귀했다,판소lee,판타지,9.8,15,1500,2020-05-23,2020-05-24
네이버 시리즈,늦깎이 천재 마법사,05林,현판,9.4,18,1400,2025-11-09,2025-11-09
네이버 시리즈,만렙 잡캐,케이로드,판타지,9.8,14,1400,2021-11-12,2021-11-13
카카오페이지,마도괴협,윤지겸,무협,9.6,14,1400,2022-07-11,2022-07-12
카카오페이지,검은 여우 독심호리,별도,무협,2.0,13,1300,2021-08-26,2021-08-26
문피아,검은머리 미군 대원수,명원(命元),"대체역사, 현대판타지",,13,1300,2020-11-20,2020-11-21
네이버 시리즈,암살 가문의 천재 어쌔신,체나,판타지,8.6,27,1300,2022-05-30,2022-06-01
네이버 시리즈,중세의 방랑 마법사가 되었다,전최가,판타지,9.5,14,1200,2025-10-19,2025-10-20
문피아,알고보니 일대일 천재,정윤강,"현대판타지, 퓨전",,11,1100,2019-07-17,2019-07-25
문피아,안 늙는 헌터가 너무 강함,선우(仙宇),"현대판타지, 판타지",,11,1100,2020-10-29,2020-11-07
문피아,화산파 역대급 천재,묘엽,무협,,15,1000,2021-06-14,2021-06-21
문피아,무당패왕,윤신현,"무협, 판타지",,10,1000,2020-02-25,2020-02-25
문피아,망겜의 성기사,검미성,"현대판타지, 퓨전",,9,900,2018-12-30,2018-12-30
카카오페이지,레벨업하기 싫은 천마님,샤이나크,판타지,5.0,9,900,2021-01-24,2021-04-16
카카오페이지,환생표사,신갈나무,무협,3.0,8,800,2019-10-18,2020-01-05
네이버 시리즈,약혼녀가 소천마였다,맠엘라하,무협,9.8,16,800,2025-12-06,2025-12-08
문피아,악당은 살고 싶다,지갑송,"판타지, 퓨전",,8,800,2020-12-14,2020-12-21
카카오페이지,엑스트라가 너무 강함,김재한,판타지,7.0,8,800,2020-04-14,2020-07-05
카카오페이지,남궁쟁천기,일황,무협,2.0,7,700,2019-09-01,2019-09-18
문피아,즉사기 들고 게임 속으로,갸올,"판타지, 퓨전",,7,700,2021-11-02,2021-11-03
네이버 시리즈,마법사의 수기,편곤,판타지,9.9,10,700,2025-10-26,2025-10-27
문피아,한의사는 연금술을 씁니다,박민우™,"판타지, 현대판타지",,7,700,2021-05-25,2021-05-30
카카오페이지,철혈검가 사냥개의 회귀,레고밟았어,판타지,7.0,6,600,2020-05-04,2020-05-04
네이버 시리즈,절대 회귀,장영훈,무협,9.9,8,600,2023-01-29,2023-01-30
네이버 시리즈,나 혼자 총알 무한,by아말하,판타지,8.6,6,600,2022-04-03,2022-04-03
네이버 시리즈,북경의 신룡,운찬,무협,9.5,6,600,2021-12-23,2021-12-23
네이버 시리즈,미친 빌런이 정신을 되찾음,김현우,현판,9.7,10,600,2022-02-21,2022-02-22
네이버 시리즈,회귀수선전,엄청난,무협,9.7,10,600,2024-01-02,2024-01-02
카카오페이지,하라간,쥬논,판타지,2.0,5,500,2026-05-22,2026-05-22
문피아,튜토리얼이 너무 어렵다,gandara,"퓨전, 현대판타지",,5,500,2018-07-23,2018-07-23
네이버 시리즈,마수 사냥꾼이 살아가는 법,쌍봉낙타3,판타지,9.7,25,500,2025-10-22,2025-10-24
카카오페이지,붉은 늑대,은형로,판타지,9.6,4,400,2019-11-08,2020-01-04
문피아,물불 안 가립니다,브라키오,판타지,,4,400,2020-11-10,2020-11-11
문피아,내 딸이 천마인데 나는 무림맹주,알렉디마,"현대판타지, 무협",,4,400,2019-05-28,2019-05-28
카카오페이지,종말 생존 게임,,,,4,400,2020-08-21,2020-08-21
카카오페이지,이계 검왕 생존기,임경배,판타지,5.0,4,400,2020-02-22,2020-02-23
카카오페이지,얼어붙은 플레이어의 귀환,제리엠,판타지,2.2,4,400,2021-08-15,2021-08-15
네이버 시리즈,홍등가의 소드마스터,망신창이,판타지,8.4,10,400,2022-04-28,2022-05-02
네이버 시리즈,명문고 EX급 조연의 리플레이,기월월,판타지,9.9,22,300,2022-01-22,2022-01-23
